Id,H[mm],Kunsat[mm_s]
1,10,0.01565
1,40,0.00318
1,70,0.00099
1,100,0.0003
2,10,0.01198
2,40,0.00475
2,70,0.00209
2,100,0.00048
3,10,0.00288
3,40,0.00099
3,70,0.00042
3,100,0.00017
4,10,0.02903
4,40,0.01128
4,70,0.00369
4,100,0.00103
5,10,0.00954
5,40,0.0051
5,70,0.00245
5,100,0.00083
6,10,0.02673
6,40,0.00115
6,70,0.00035
6,100,0.00028
7,10,0.03205
7,40,0.01324
7,70,0.00669
7,100,0.00281
8,10,0.01483
8,40,0.00063
8,70,0.00038
8,100,0.00008
9,10,0.01693
9,40,0.00339
9,70,0.001
9,100,0.00055
10,10,0.01206
10,40,0.00209
10,70,0.00096
10,100,0.0004
11,10,0.06547
11,40,0.0119
11,70,0.00338
11,100,0.00053
12,10,0.00376
12,40,0.00123
12,70,0.00096
12,100,0.00058
13,10,0.02944
13,40,0.00723
13,70,0.00405
13,100,0.002
14,10,0.01967
14,40,0.00188
14,70,0.00099
14,100,0.00063
15,10,0.01879
15,40,0.00376
15,70,0.00084
15,100,0.0004
16,10,0.0223
16,40,0.00814
16,70,0.00313
16,100,0.0015
17,10,0.02193
17,40,0.00564
17,70,0.00178
17,100,0.00073
18,10,0.00089
18,40,0.00048
18,70,0.00026
18,100,0.00019
19,10,0.00637
19,40,0.00338
19,70,0.00157
19,100,0.00076
20,10,0.03728
20,40,0.00376
20,70,0.00146
20,100,0.00056
21,10,0.00104
21,40,0.0006
21,70,0.00046
21,100,0.00026
22,10,0.00298
22,40,0.00195
22,70,0.0011
22,100,0.0005
23,10,0.04323
23,40,0.00919
23,70,0.00129
23,100,0.00047
24,10,0.00564
24,40,0.00178
24,70,0.00065
24,100,0.00028
25,10,0.026
25,40,0.01504
25,70,0.00637
25,100,0.00226
26,10,0.01904
26,40,0.00031
26,70,0.00021
26,100,0.00016
27,10,0.03775
27,40,0.00146
27,70,0.00067
27,100,0.00031
28,10,0.03947
28,40,0.00392
28,70,0.0009
28,100,0.00039
29,10,0.00301
29,40,0.00132
29,70,0.0011
29,100,0.00085
30,10,0.0184
30,40,0.00539
30,70,0.00166
30,100,0.00063
31,10,0.00611
31,40,0.00138
31,70,0.00063
31,100,0.00038
32,10,0.00055
32,40,0.00043
32,70,0.00034
32,100,0.00021
33,10,0.00188
33,40,0.00078
33,70,0.0005
33,100,0.00028
34,10,0.04956
34,40,0.00188
34,70,0.00113
34,100,0.00056
