Id,Diameter[mm],Cumul_Psd
1,0.002,0.26
1,0.006,0.48
1,0.01,0.57
1,0.02,0.72
1,0.063,0.97
1,0.125,1
1,0.25,1
1,0.5,1
1,1,1
1,2,1
2,0.002,0.27
2,0.006,0.38
2,0.01,0.46
2,0.02,0.6
2,0.063,0.82
2,0.125,0.9
2,0.25,0.96
2,0.5,0.98
2,1,1
2,2,1
3,0.002,0.26
3,0.006,0.36
3,0.01,0.41
3,0.02,0.54
3,0.063,0.88
3,0.125,0.97
3,0.25,1
3,0.5,1
3,1,1
3,2,1
4,0.002,0.25
4,0.006,0.36
4,0.01,0.42
4,0.02,0.56
4,0.063,0.83
4,0.125,0.89
4,0.25,0.94
4,0.5,0.98
4,1,1
4,2,1
5,0.002,0.25
5,0.006,0.37
5,0.01,0.42
5,0.02,0.56
5,0.063,0.83
5,0.125,0.89
5,0.25,0.94
5,0.5,0.98
5,1,0.99
5,2,1
6,0.002,0.26
6,0.006,0.36
6,0.01,0.44
6,0.02,0.56
6,0.063,0.79
6,0.125,0.86
6,0.25,0.93
6,0.5,0.98
6,1,0.99
6,2,1
7,0.002,0.24
7,0.006,0.33
7,0.01,0.39
7,0.02,0.54
7,0.063,0.89
7,0.125,0.94
7,0.25,0.97
7,0.5,0.99
7,1,1
7,2,1
8,0.002,0.26
8,0.006,0.38
8,0.01,0.47
8,0.02,0.59
8,0.063,0.83
8,0.125,0.96
8,0.25,1
8,0.5,1
8,1,1
8,2,1
9,0.002,0.23
9,0.006,0.33
9,0.01,0.38
9,0.02,0.51
9,0.063,0.82
9,0.125,0.89
9,0.25,0.94
9,0.5,0.99
9,1,1
9,2,1
10,0.002,0.27
10,0.006,0.38
10,0.01,0.47
10,0.02,0.6
10,0.063,0.86
10,0.125,0.91
10,0.25,0.96
10,0.5,0.99
10,1,1
10,2,1
11,0.002,0.27
11,0.006,0.36
11,0.01,0.43
11,0.02,0.55
11,0.063,0.78
11,0.125,0.88
11,0.25,0.96
11,0.5,0.99
11,1,1
11,2,1
12,0.002,0.23
12,0.006,0.32
12,0.01,0.37
12,0.02,0.51
12,0.063,0.83
12,0.125,0.88
12,0.25,0.93
12,0.5,0.98
12,1,1
12,2,1
13,0.002,0.29
13,0.006,0.41
13,0.01,0.46
13,0.02,0.59
13,0.063,0.84
13,0.125,0.89
13,0.25,0.93
13,0.5,0.97
13,1,1
13,2,1
