Id,ρb_Fine[g_cm3],ρp_Fine[g_cm3],ρb_Rock[g_cm3],ρp_Rock[g_cm3]
1,1.198266076,2.617724735,-999,-999
2,1.217597539,2.626659153,-999,-999
3,1.22622067,2.58275766,-999,-999
4,1.219324348,2.61383798,-999,-999
5,1.189846408,2.601901656,-999,-999
6,1.153879376,2.562578265,-999,-999
7,1.352193852,2.581896657,-999,-999
8,1.005680863,2.633950801,-999,-999
9,1.256628027,2.593381046,-999,-999
10,1.185935768,2.573323177,-999,-999
11,0.932042206,2.62509335,-999,-999
12,1.069859845,2.589929791,-999,-999
13,1.123890216,2.602200614,-999,-999
14,1.118707265,2.600189895,-999,-999
15,1.07019711,2.548003093,-999,-999
16,0.933838965,2.602066743,-999,-999
17,1.093771002,2.622890569,-999,-999
18,1.305286828,2.592992056,-999,-999
19,1.250707453,2.601703177,-999,-999
20,1.07406062,2.635926185,-999,-999
21,1.191770197,2.621259479,-999,-999
22,1.305613744,2.640068938,-999,-999
23,1.210128007,2.662646707,-999,-999
24,1.320444059,2.646462335,-999,-999
25,1.144929494,2.596002119,-999,-999
26,1.147278065,2.610937943,-999,-999
27,1.183584172,2.631509704,-999,-999
28,1.2370045,2.570089522,-999,-999
29,1.225630437,2.608843598,-999,-999
30,1.023987937,2.584317161,-999,-999
31,1.158849993,2.625404659,-999,-999
32,1.352733659,2.622912539,-999,-999
33,1.412015271,2.600283784,-999,-999
34,1.176403778,2.557867731,-999,-999
35,1.171390597,2.535307479,-999,-999
36,1.043424686,2.545510225,-999,-999
37,1.057465614,2.669932203,-999,-999
38,1.172432273,2.556822581,-999,-999
39,1.075737196,2.533408134,-999,-999
40,1.116990965,2.521305778,-999,-999
41,1.291363548,2.514173913,-999,-999
42,1.034833053,2.622047817,-999,-999
43,0.983174661,2.542741098,-999,-999
44,1.110988018,2.568306545,-999,-999
45,1.099411705,2.578172752,-999,-999
46,1.29277607,2.589262012,-999,-999
47,1.050351696,2.565661805,-999,-999
48,1.083056681,2.575262548,-999,-999
49,1.109720545,2.561258621,-999,-999
50,0.941017126,2.550607362,-999,-999
51,1.076288432,2.560782264,-999,-999
52,1.132371333,2.578798371,-999,-999
53,1.110463655,2.567495575,-999,-999
54,1.131191527,2.597330967,-999,-999
55,1.042594856,2.595883291,-999,-999
56,1.170177961,2.557327354,-999,-999
57,1.090715995,2.576766014,-999,-999
58,1.281706717,2.585123173,-999,-999
59,0.948407134,2.547740988,-999,-999
60,1.148069978,2.613879557,-999,-999
61,1.333833999,2.615364207,-999,-999
62,1.299142664,2.608209062,-999,-999
63,1.318101457,2.613791083,-999,-999
64,1.443416904,2.641830396,-999,-999
65,1.34680672,2.626711538,-999,-999
66,1.271571858,2.626878261,-999,-999
67,1.022533237,2.495216621,-999,-999
68,1.106153661,2.557790265,-999,-999
69,1.186192087,2.532680248,-999,-999
70,1.39273685,2.620611014,-999,-999
71,1.149533022,2.607978941,-999,-999
72,1.277132937,2.611211336,-999,-999
73,0.999677296,2.529752424,-999,-999
74,0.959606766,2.58096283,-999,-999
75,1.003478475,2.562621483,-999,-999
76,1.059634122,2.609137051,-999,-999
77,1.11624633,2.567319272,-999,-999
78,1.329305073,2.590609043,-999,-999
79,1.130629377,2.626826347,-999,-999
80,1.247663008,2.585695716,-999,-999
81,1.259521683,2.58906478,-999,-999
82,1.165766043,2.546323347,-999,-999
83,1.255283571,2.575583333,-999,-999
84,0.964536216,2.477838235,-999,-999
85,0.972469729,2.470375826,-999,-999
86,0.966115739,2.437111111,-999,-999
87,1.200545974,2.577979968,-999,-999
88,1.175818959,2.569449664,-999,-999
89,1.05946775,2.539404814,-999,-999
90,0.91275252,2.500783969,-999,-999
