Id,TRUE,,
1,0,,0
2,1,,1
3,0,,1
4,1,,2
5,1,,3
6,1,,4
7,0,,4
8,1,,5
9,1,,6
10,1,,7
11,1,,8
12,1,,9
13,1,,10
14,1,,11
15,1,,12
16,1,,13
17,1,,14
18,1,,15
19,1,,16
20,1,,17
21,1,,18
22,1,,19
23,1,,20
24,1,,21
25,1,,22
26,1,,23
27,1,,24
28,1,,25
29,1,,26
30,1,,27
31,1,,28
32,1,,29
33,1,,30
34,1,,31
35,1,,32
36,1,,33
37,1,,34
38,1,,35
39,1,,36
40,1,,37
41,1,,38
42,1,,39
43,1,,40
44,1,,41
45,1,,42
46,1,,43
47,1,,44
48,1,,45
49,1,,46
50,1,,47
51,1,,48
52,1,,49
53,1,,50
54,1,,51
55,1,,52
56,1,,53
57,1,,54
58,1,,55
59,1,,56
60,1,,57
61,1,,58
62,1,,59
63,1,,60
64,1,,61
65,1,,62
66,1,,63
67,1,,64
68,0,,64
69,0,,64
70,0,,64
71,1,,65
72,1,,66
73,1,,67
74,1,,68
75,1,,69
76,1,,70
77,1,,71
78,1,,72
79,1,,73
80,1,,74
81,1,,75
82,1,,76
83,1,,77
84,1,,78
85,1,,79
86,1,,80
87,1,,81
88,1,,82
89,1,,83
90,1,,
