Id,Tinfilt[s],Cumul_Infiltration[mm]
1,58,5
1,140,10
1,230,15
1,328,20
1,448,25
1,585,30
1,733,35
1,892,40
1,1044,45
1,1210,50
1,1378,55
1,1554,60
1,1738,65
1,1937,70
1,2146,75
1,2357,80
1,2581,85
1,2824,90
1,3076,95
1,3335,100
1,3607,105
1,3871,110
1,4138,115
1,4393,120
1,4604,125
1,4874,130
1,5155,135
1,5434,140
2,3,5
2,31,10
2,106,15
2,237,20
2,373,25
2,533,30
2,694,35
2,856,40
2,1020,45
2,1174,50
2,1324,55
2,1481,60
2,1641,65
3,13,3.185
3,81,6.37
3,267,9.555
3,582,12.74
3,975,15.925
3,1374,19.11
3,1782,22.295
3,2119,25.48
3,2501,28.665
4,38,5
4,106,10
4,193,15
4,302,20
4,426,25
4,557,30
4,718,35
4,931,40
4,1135,45
4,1337,50
4,1555,55
4,1773,60
5,97,3.2
5,159,6.4
5,199,9.6
5,281,14.6
5,401,19.6
5,528,24.6
5,631,29.6
5,724,34.6
5,850,39.6
5,982,44.6
5,1117,49.6
5,1244,54.6
5,1374,59.6
6,3,5
6,13,10
6,63,15
6,161,20
6,265,25
6,391,30
6,548,35
6,698,40
6,862,45
6,1037,50
6,1221,55
6,1391,60
7,144,5
7,366,10
7,694,15
7,1066,20
7,1489,25
7,1991,30
7,2370,35
7,2804,40
7,3231,45
7,3641,50
7,4055,55
7,4472,60
7,4883,65
8,25,5
8,55,10
8,107,15
8,168,20
8,243,25
8,347,30
8,467,35
8,598,40
8,753,45
8,931,50
8,1110,55
8,1292,60
8,1514,65
8,1746,70
8,1982,75
9,43,5
9,130,10
9,232,15
9,364,20
9,519,25
9,682,30
9,860,35
9,1039,40
9,1225,45
9,1408,50
9,1593,55
10,17,5
10,90,10
10,220,15
10,364,20
10,509,25
10,664,30
10,834,35
10,1005,40
10,1178,45
11,5,5
11,14,10
11,24,15
11,37,20
11,50,25
11,66,30
11,86,35
11,109,40
11,132,45
11,155,50
11,177,55
11,200,60
11,223,65
12,6,5
12,21,10
12,48,15
12,80,20
12,126,25
12,195,30
12,269,35
12,350,40
12,430,45
12,524,50
12,615,55
12,708,60
13,47,5
13,127,10
13,215,15
13,316,20
13,434,25
13,563,30
13,700,35
13,846,40
13,995,45
13,1148,50
13,1307,55
14,63,5
14,136,10
14,215,15
14,297,20
14,386,25
14,482,30
14,589,35
14,703,40
14,834,45
14,966,50
14,1100,55
14,1235,60
15,109,5
15,232,10
15,386,15
15,489,20
15,609,25
15,731,30
15,858,35
15,1020,40
15,1180,45
15,1347,50
15,1507,55
16,5,5
16,11,10
16,17,15
16,26,20
16,38,25
16,50,30
16,61,35
16,73,40
16,86,45
16,98,50
16,110,55
16,123,60
16,135,65
16,149,70
16,162,75
16,175,80
16,189,85
16,204,90
16,219,95
17,9,5
17,19,10
17,34,15
17,48,20
17,62,25
17,79,30
17,93,35
17,108,40
17,123,45
17,137,50
17,153,55
17,169,60
17,187,65
17,204,70
17,221,75
17,239,80
17,257,85
18,68,3
18,327,6
18,779,9
18,1399,12
18,2038,15
18,2740,18
18,3380,21
18,4054,24
18,4741,27
18,5445,30
19,42,3.2
19,165,6.4
19,326,9.6
19,521,12.8
19,736,16
19,910,19.2
19,1125,22.4
19,1372,25.6
19,1618,28.8
19,1863,32
20,55,5
20,156,10
20,299,15
20,471,20
20,700,25
20,943,30
20,1230,35
20,1519,40
20,1809,45
20,2159,50
20,2519,55
20,2881,60
21,62,5
21,153,10
21,316,15
21,1136,20
21,2302,25
21,3572,30
21,4865,35
21,6194,40
22,21,5
22,88,10
22,222,15
22,374,20
22,574,25
22,768,30
22,961,35
22,1167,40
22,1404,45
22,1643,50
22,1884,55
23,6,1.59
23,279,6.6
23,595,9.8
23,854,12.3
23,1143,14.8
23,1470,17.3
23,1802,19.8
23,2135,22.3
23,2482,24.8
23,2833,27.3
23,3185,29.8
24,47,5
24,125,10
24,299,15
24,563,20
24,885,25
24,1204,30
24,1527,35
24,1851,40
25,106,5
25,390,10
25,744,15
25,1049,20
25,1380,25
25,1721,30
25,2072,35
25,2414,40
25,2752,45
25,3088,50
26,27,5
26,84,10
26,167,15
26,267,20
26,378,25
26,485,30
26,624,35
26,761,40
26,916,45
26,1079,50
26,1246,55
26,1430,60
26,1635,65
26,1878,70
26,2123,75
26,2370,80
27,25,5
27,91,10
27,174,15
27,364,20
27,574,25
27,823,30
27,1070,35
27,1341,40
27,1617,45
27,1892,50
27,2223,55
28,87,5
28,205,10
28,344,15
28,489,20
28,662,25
28,819,30
28,974,35
28,1128,40
28,1289,45
28,1451,50
28,1616,55
29,449,5
29,930,10
29,1342,15
29,1749,20
29,2151,25
29,2570,30
29,2993,35
29,3416,40
29,3845,45
29,4284,50
29,4707,55
30,193,5
30,234,10
30,318,15
30,432,20
30,563,25
30,701,30
30,848,35
30,999,40
30,1149,45
30,1299,50
30,1446,55
31,44,5
31,168,10
31,318,15
31,541,20
31,773,25
31,1040,30
31,1333,35
31,1698,40
31,2041,45
31,2382,50
31,2736,55
31,3107,60
32,128,5
32,588,10
32,2615,15
32,5588,20
32,8763,25
32,12358,30
33,173,5
33,530,10
33,1203,15
33,2425,20
33,4270,25
34,75,5
34,135,10
34,190,15
34,255,20
34,322,25
34,389,30
34,454,35
34,522,40
34,590,45
34,670,50
34,749,55
34,831,60
34,920,65
34,1014,70
34,1115,75
34,1217,80
35,107,5
35,173,10
35,254,15
35,355,20
35,477,25
35,617,30
35,780,35
35,975,40
35,1199,45
35,1454,50
35,1762,55
35,2072,60
36,65,5
36,293,10
36,602,15
36,912,20
36,1338,25
36,1794,30
36,2235,35
36,2722,39
36,3686,45
36,4797,50
37,44,5
37,265,10
37,613,15
37,1225,20
37,1906,25
37,2687,30
37,3471,35
37,4257,40
38,14,5
38,44,10
38,113,15
38,198,20
38,298,25
38,410,30
38,528,35
38,647,40
38,766,45
38,887,50
39,21,5
39,60,10
39,145,15
39,248,20
39,355,25
39,481,30
39,606,35
39,734,40
39,863,45
39,994,50
40,6,5
40,21,10
40,62,15
40,124,20
40,184,25
40,260,30
40,344,35
40,447,40
40,549,45
40,650,50
40,756,55
41,14,5
41,44,10
41,113,15
41,198,20
41,298,25
41,410,30
41,528,35
41,647,40
41,766,45
42,17,5
42,50,10
42,109,15
42,188,20
42,270,25
42,365,30
42,455,35
42,550,40
42,648,45
42,747,50
43,42,5
43,118,10
43,190,15
43,273,20
43,363,25
43,453,30
43,543,35
43,644,40
43,786,45
43,925,50
43,1085,55
43,1245,60
43,1397,65
44,20,5
44,77,10
44,146,15
44,231,20
44,330,25
44,438,30
44,553,35
44,668,40
44,792,45
44,918,50
45,12,5
45,59,10
45,127,15
45,221,20
45,315,25
45,415,30
45,540,35
45,667,40
45,795,45
45,922,50
46,15,5
46,61,10
46,142,15
46,231,20
46,319,25
46,411,30
46,491,35
46,575,40
46,662,45
46,748,50
47,3,5
47,11,10
47,28,15
47,52,20
47,75,25
47,95,30
47,121,35
47,157,40
47,200,45
47,242,50
47,285,55
48,17,5
48,76,10
48,170,15
48,280,20
48,412,25
48,569,30
48,743,35
48,922,40
48,1106,45
