Id,Theta_Ini[-],Thetas[-],RingRadius[mm],Lambda[-],Beta[-]
1,0.3458,0.545655645,100,0.75,0.6
2,0.3664,0.53026227,100,0.75,0.6
3,0.48569968,0.535922916,100,0.75,0.6
4,0.3268,0.525214376,100,0.75,0.6
5,0.2595,0.542722865,100,0.75,0.6
6,0.4543,0.510639651,100,0.75,0.6
7,0.3286,0.477545303,100,0.75,0.6
8,0.2612,0.619870598,100,0.75,0.6
9,0.3813,0.511380995,100,0.75,0.6
10,0.4068,0.539960088,100,0.75,0.6
11,0.4109,0.645270367,100,0.75,0.6
12,0.3498,0.594811253,100,0.75,0.6
13,0.4019,0.545228531,100,0.75,0.6
14,0.3818,0.539445143,100,0.75,0.6
15,0.3335,0.594711297,100,0.75,0.6
16,0.243,0.647025552,100,0.75,0.6
17,0.2686,0.586574099,100,0.75,0.6
18,0.2939,0.506624895,100,0.75,0.6
19,0.2371,0.526109392,100,0.75,0.6
20,0.2415,0.594024271,100,0.75,0.6
21,0.3243,0.536700202,100,0.75,0.6
22,0.3492,0.506501326,100,0.75,0.6
23,0.1436,0.542593229,100,0.75,0.6
24,0.3758,0.500895732,100,0.75,0.6
25,0.3939,0.549992358,100,0.75,0.6
26,0.3475,0.552832432,100,0.75,0.6
27,0.358,0.552626325,100,0.75,0.6
28,0.3236,0.529039437,100,0.75,0.6
29,0.2622,0.53661634,100,0.75,0.6
30,0.435,0.535868495,100,0.75,0.6
31,0.3628,0.561975403,100,0.75,0.6
32,0.299,0.483484583,100,0.75,0.6
33,0.2748,0.462948853,100,0.75,0.6
34,0.3019,0.553904054,100,0.75,0.6
35,0.3402,0.55712774,100,0.75,0.6
36,0.4942,0.605604107,100,0.75,0.6
37,0.4614,0.600296887,100,0.75,0.6
38,0.4256,0.556841543,100,0.75,0.6
39,0.4248,0.593390555,100,0.75,0.6
40,0.4165,0.577797367,100,0.75,0.6
41,0.4416,0.511887646,100,0.75,0.6
42,0.3037,0.608851591,100,0.75,0.6
43,0.374,0.584710074,100,0.75,0.6
44,0.3216,0.572956215,100,0.75,0.6
45,0.3635,0.582808085,100,0.75,0.6
46,0.4553,0.490424818,100,0.75,0.6
47,0.4601,0.602985821,100,0.75,0.6
48,0.3557,0.583951227,100,0.75,0.6
49,0.4696,0.580545456,100,0.75,0.6
50,0.3512,0.644312335,100,0.75,0.6
51,0.4121,0.593023732,100,0.75,0.6
52,0.4472,0.57150017,100,0.75,0.6
53,0.3634,0.580164051,100,0.75,0.6
54,0.3069,0.572429808,100,0.75,0.6
55,0.4463,0.591439049,100,0.75,0.6
56,0.4867,0.556232244,100,0.75,0.6
57,0.457,0.587728837,100,0.75,0.6
58,0.4478,0.514787858,100,0.75,0.6
59,0.4699,0.641519044,100,0.75,0.6
60,0.3551,0.565332935,100,0.75,0.6
61,0.4677,0.494629631,100,0.75,0.6
62,0.3465,0.506055619,100,0.75,0.6
63,0.3869,0.501272116,100,0.75,0.6
64,0.3501,0.453893736,100,0.75,0.6
65,0.3867,0.47258324,100,0.75,0.6
66,0.3578,0.44862073,100,0.75,0.6
67,0.5285,0.613500701,100,0.75,0.6
68,0.439180391,0.581893675,100,0.75,0.6
69,0.468407408,0.551640579,100,0.75,0.6
70,0.3919,0.472531406,100,0.75,0.6
71,0.3932,0.564789897,100,0.75,0.6
72,0.4619,0.516553561,100,0.75,0.6
73,0.3898,0.621468507,100,0.75,0.6
74,0.3618,0.636623304,100,0.75,0.6
75,0.3745,0.619961585,100,0.75,0.6
76,0.4688,0.598753911,100,0.75,0.6
77,0.3792,0.575839817,100,0.75,0.6
78,0.4053,0.485872757,100,0.75,0.6
79,0.3468,0.558762662,100,0.75,0.6
80,0.3315,0.527688939,100,0.75,0.6
81,0.4446,0.523103198,100,0.75,0.6
82,0.4385,0.558635662,100,0.75,0.6
83,0.3115,0.524777506,100,0.75,0.6
84,0.4509,0.634799755,100,0.75,0.6
85,0.387,0.631449955,100,0.75,0.6
86,0.4242,0.633136939,100,0.75,0.6
87,0.2775,0.545448259,100,0.75,0.6
88,0.2534,0.554797476,100,0.75,0.6
89,0.4747,0.598822414,100,0.75,0.6
90,0.2848,0.654342391,100,0.75,0.6
