Id,H[mm],Kunsat[mm_s]
1,0,0.0289
1,10,0.0157
1,40,0.0032
1,70,0.0010
1,100,0.0003
2,0,0.0124
2,10,0.0120
2,40,0.0048
2,70,0.0021
2,100,0.0005
3,0,0.0481
3,10,0.0029
3,40,0.0010
3,70,0.0004
3,100,0.0002
4,0,0.0722
4,10,0.0290
4,40,0.0113
4,70,0.0037
4,100,0.0010
5,0,0.0722
5,10,0.0095
5,40,0.0051
5,70,0.0025
5,100,0.0008
6,0,0.2119
6,10,0.0267
6,40,0.0012
6,70,0.0004
6,100,0.0003
7,0,0.0722
7,10,0.0321
7,40,0.0132
7,70,0.0067
7,100,0.0028
8,0,0.2985
8,10,0.0148
8,40,0.0006
8,70,0.0004
8,100,0.0001
9,0,0.0481
9,10,0.0169
9,40,0.0034
9,70,0.0010
9,100,0.0006
10,0,0.0257
10,10,0.0121
10,40,0.0021
10,70,0.0010
10,100,0.0004
11,0,0.2183
11,10,0.0655
11,40,0.0119
11,70,0.0034
11,100,0.0005
12,0,0.0063
12,10,0.0038
12,40,0.0012
12,70,0.0010
12,100,0.0006
13,0,0.0835
13,10,0.0294
13,40,0.0072
13,70,0.0041
13,100,0.0020
14,0,0.0373
14,10,0.0197
14,40,0.0019
14,70,0.0010
14,100,0.0006
15,0,0.0802
15,10,0.0188
15,40,0.0038
15,70,0.0008
15,100,0.0004
16,0,0.1586
16,10,0.0223
16,40,0.0081
16,70,0.0031
16,100,0.0015
17,0,0.2119
17,10,0.0219
17,40,0.0056
17,70,0.0018
17,100,0.0007
18,0,0.0030
18,10,0.0009
18,40,0.0005
18,70,0.0003
18,100,0.0002
19,0,0.0250
19,10,0.0064
19,40,0.0034
19,70,0.0016
19,100,0.0008
20,0,0.1204
20,10,0.0373
20,40,0.0038
20,70,0.0015
20,100,0.0006
21,0,0.0626
21,10,0.0010
21,40,0.0006
21,70,0.0005
21,100,0.0003
22,0,0.0204
22,10,0.0030
22,40,0.0020
22,70,0.0011
22,100,0.0005
23,0,0.3820
23,10,0.0432
23,40,0.0092
23,70,0.0013
23,100,0.0005
24,0,0.0218
24,10,0.0056
24,40,0.0018
24,70,0.0007
24,100,0.0003
25,0,0.0899
25,10,0.0260
25,40,0.0150
25,70,0.0064
25,100,0.0023
26,0,0.1284
26,10,0.0190
26,40,0.0003
26,70,0.0002
26,100,0.0002
27,0,0.2568
27,10,0.0378
27,40,0.0015
27,70,0.0007
27,100,0.0003
28,0,0.1573
28,10,0.0395
28,40,0.0039
28,70,0.0009
28,100,0.0004
29,0,0.1284
29,10,0.0030
29,40,0.0013
29,70,0.0011
29,100,0.0009
30,0,0.1926
30,10,0.0184
30,40,0.0054
30,70,0.0017
30,100,0.0006
31,0,0.1220
31,10,0.0061
31,40,0.0014
31,70,0.0006
31,100,0.0004
32,0,0.0015
32,10,0.0006
32,40,0.0004
32,70,0.0003
32,100,0.0002
33,0,0.0109
33,10,0.0019
33,40,0.0008
33,70,0.0005
33,100,0.0003
34,0,0.0621
34,10,0.0496
34,40,0.0019
34,70,0.0011
34,100,0.0006
35,0,0.0337
35,10,0.0031
35,40,0.0016
35,70,0.0009
35,100,0.0006
36,0,0.0153
36,10,0.0053
36,40,0.0020
36,70,0.0010
36,100,0.0008
37,0,0.1123
37,10,0.0120
37,40,0.0001
37,70,0.0001
37,100,0.0001
38,0,0.3082
38,10,0.0150
38,40,0.0017
38,70,0.0006
38,100,0.0003
