Id,H[mm],Theta
1,0,-999
1,40,-999
1,70,-999
1,100,-999
1,500,-999
1,1000,-999
1,2000,-999
1,4000,-999
1,10000,-999
1,150000,-999
2,0,0.468271667
2,40,0.4399164
2,70,0.437687376
2,100,0.433972337
2,500,0.371002418
2,1000,0.33738131
2,2000,0.305989227
2,4000,0.297630388
2,10000,0.273296879
2,150000,0.167105165
3,0,0.537377264
3,40,0.535513278
3,70,0.529699792
3,100,0.521834487
3,500,0.486953569
3,1000,0.467347302
3,2000,0.43862184
3,4000,0.411834208
3,10000,0.370911824
3,150000,0.210854544
4,0,0.540921143
4,40,0.501121675
4,70,0.495177612
4,100,0.489233549
4,500,0.383540676
4,1000,0.346761785
4,2000,0.31332643
4,4000,0.306453607
4,10000,0.280076826
4,150000,0.150826483
5,0,0.499634834
5,40,0.427840318
5,70,0.419528704
5,100,0.415939598
5,500,0.363236411
5,1000,0.340190573
5,2000,0.309210921
5,4000,0.299577006
5,10000,0.265008248
5,150000,0.15642996
6,0,0.53086827
6,40,0.499375607
6,70,0.487673232
6,100,0.482472177
6,500,0.432504896
6,1000,0.400741309
6,2000,0.36136189
6,4000,0.348545004
6,10000,0.306007802
6,150000,0.15786291
7,0,-999
7,40,-999
7,70,-999
7,100,-999
7,500,-999
7,1000,-999
7,2000,-999
7,4000,-999
7,10000,-999
7,150000,-999
8,0,0.585831556
8,40,0.540916045
8,70,0.50785849
8,100,0.475556537
8,500,0.346537623
8,1000,0.307435259
8,2000,0.261721383
8,4000,0.253409769
8,10000,0.225074722
8,150000,0.139263741
9,0,0.475119303
9,40,0.42908706
9,70,0.420208745
9,100,0.414919536
9,500,0.357682742
9,1000,0.329347695
9,2000,0.300257047
9,4000,0.273999903
9,10000,0.229230529
9,150000,0.145844534
10,0,0.498684242
10,40,0.436851492
10,70,0.430721677
10,100,0.427935398
10,500,0.374253077
10,1000,0.351405584
10,2000,0.323171284
10,4000,0.293079464
10,10000,0.239397144
10,150000,0.147348078
11,0,0.646822947
11,40,0.617968482
11,70,0.582644124
11,100,0.56243179
11,500,0.451925108
11,1000,0.408478036
11,2000,0.349918939
11,4000,0.336507017
11,10000,0.298160253
11,150000,0.143517451
12,0,0.525638278
12,40,0.519083891
12,70,0.508310277
12,100,0.504037981
12,500,0.469302362
12,1000,0.444968854
12,2000,0.418777825
12,4000,0.388686005
12,10000,0.34484854
12,150000,0.185259584
13,0,0.537249784
13,40,0.516283944
13,70,0.511285856
13,100,0.506102654
13,500,0.464081695
13,1000,0.441867972
13,2000,0.416137076
13,4000,0.390035952
13,10000,0.348014993
13,150000,0.183686781
14,0,0.558078199
14,40,0.529449796
14,70,0.521327082
14,100,0.518682478
14,500,0.482224718
14,1000,0.457667677
14,2000,0.427254727
14,4000,0.407609094
14,10000,0.367751128
14,150000,0.176156224
15,0,0.57651809
15,40,0.569664154
15,70,0.556847267
15,100,0.556847267
15,500,0.495734868
15,1000,0.46397128
15,2000,0.412889488
15,4000,0.407131176
15,10000,0.374067325
15,150000,0.225505818
16,0,0.505546877
16,40,0.476009897
16,70,0.464864779
16,100,0.460142271
16,500,0.402905476
16,1000,0.378915137
16,2000,0.352846894
16,4000,0.334334663
16,10000,0.295421199
16,150000,0.160252673
17,0,0.557448527
17,40,0.510019195
17,70,0.475840832
17,100,0.466924737
17,500,0.369776455
17,1000,0.342656666
17,2000,0.31572263
17,4000,0.298261945
17,10000,0.258882526
17,150000,0.140144745
18,0,0.461172844
18,40,0.428989692
18,70,0.427051863
18,100,0.423632165
18,500,0.377238265
18,1000,0.347714874
18,2000,0.321041231
18,4000,0.300637034
18,10000,0.264502227
18,150000,0.141238483
19,0,0.530055554
19,40,0.463027084
19,70,0.448664353
19,100,0.439317179
19,500,0.379130497
19,1000,0.346871348
19,2000,0.319399776
19,4000,0.29694376
19,10000,0.261378903
19,150000,0.13730361
20,0,0.546449229
20,40,0.509261398
20,70,0.488059272
20,100,0.479624017
20,500,0.390483894
20,1000,0.3655201
20,2000,0.338960447
20,4000,0.320950039
20,10000,0.289830789
20,150000,0.176611848
21,0,0.52703864
21,40,0.485517296
21,70,0.477765981
21,100,0.473092394
21,500,0.412449753
21,1000,0.383610302
21,2000,0.373009238
21,4000,0.33858428
21,10000,0.303361393
21,150000,0.178505078
22,0,0.495607744
22,40,0.479042669
22,70,0.474711051
22,100,0.472545243
22,500,0.407001035
22,1000,0.365736681
22,2000,0.354337688
22,4000,0.315809093
22,10000,0.279560296
22,150000,0.165453067
23,0,0.537558179
23,40,0.515439652
23,70,0.506548438
23,100,0.499367073
23,500,0.389936743
23,1000,0.336817437
23,2000,0.323708595
23,4000,0.271501208
23,10000,0.235936351
23,150000,0.153242782
24,0,0.468226084
24,40,0.453736905
24,70,0.447353469
24,100,0.443135842
24,500,0.404379266
24,1000,0.385684918
24,2000,0.362316983
24,4000,0.33666925
24,10000,0.294606967
24,150000,0.185173637
25,0,0.553744729
25,40,0.531820005
25,70,0.520876972
25,100,0.50754015
25,500,0.412130581
25,1000,0.378959513
25,2000,0.345560464
25,4000,0.316265053
25,10000,0.282182065
25,150000,0.190781367
26,0,0.479114391
26,40,0.472180536
26,70,0.462815233
26,100,0.460332863
26,500,0.434267983
26,1000,0.418471086
26,2000,0.39500141
26,4000,0.37074189
26,10000,0.333280677
26,150000,0.203778502
27,0,0.577250819
27,40,0.511783839
27,70,0.50156748
27,100,0.500824472
27,500,0.437483049
27,1000,0.405533709
27,2000,0.35946722
27,4000,0.350922629
27,10000,0.313586482
27,150000,0.168115586
28,0,0.52378322
28,40,0.488360515
28,70,0.474614869
28,100,0.471457085
28,500,0.385453921
28,1000,0.355733605
28,2000,0.311524635
28,4000,0.30446606
28,10000,0.269916193
28,150000,0.175824293
29,0,0.459015673
29,40,0.450894342
29,70,0.448108062
29,100,0.445693286
29,500,0.415787218
29,1000,0.394054237
29,2000,0.357461099
29,4000,0.353746059
29,10000,0.320682208
29,150000,0.22479527
30,0,0.539127134
30,40,0.459364632
30,70,0.43001582
30,100,0.418313445
30,500,0.351442735
30,1000,0.329709754
30,2000,0.292559359
30,4000,0.283829016
30,10000,0.2541087
30,150000,0.172854952
31,0,0.52536571
31,40,0.482779421
31,70,0.477884605
31,100,0.472613266
31,500,0.359467722
31,1000,0.332922761
31,2000,0.295270334
31,4000,0.288492897
31,10000,0.264207081
31,150000,0.146600833
32,0,0.429482348
32,40,0.390840728
32,70,0.390283472
32,100,0.39009772
32,500,0.371708275
32,1000,0.355176349
32,2000,0.314310915
32,4000,0.305209068
32,10000,0.277903528
32,150000,0.186594897
33,0,0.43757438
33,40,0.427254727
33,70,0.424799023
33,100,0.42291002
33,500,0.371529135
33,1000,0.353961406
33,2000,0.313158938
33,4000,0.306169626
33,10000,0.281612586
33,150000,0.184110949
34,0,0.506529649
34,40,0.481771357
34,70,0.477048849
34,100,0.473270843
34,500,0.414333945
34,1000,0.389776905
34,2000,0.345574232
34,4000,0.333484612
34,10000,0.294571147
34,150000,0.205798677
35,0,0.551090196
35,40,0.54386289
35,70,0.539707083
35,100,0.538951481
35,500,0.490593002
35,1000,0.460368952
35,2000,0.409932568
35,4000,0.397842948
35,10000,0.343817459
35,150000,0.175941934
36,0,0.555087317
36,40,0.53351682
36,70,0.532030804
36,100,0.531473548
36,500,0.518099406
36,1000,0.506211279
36,2000,0.467946373
36,4000,0.454386479
36,10000,0.417979092
36,150000,0.283912425
37,0,0.609666859
37,40,0.54407068
37,70,0.53216996
37,100,0.529147555
37,500,0.504401614
37,1000,0.483244779
37,2000,0.443386813
37,4000,0.435453
37,10000,0.400128642
37,150000,0.257898355
38,0,0.556936339
38,40,0.507272899
38,70,0.49574998
38,100,0.493483176
38,500,0.443613494
38,1000,0.418489752
38,2000,0.392232609
38,4000,0.390343606
38,10000,0.351430141
38,150000,0.197519979
39,0,0.510215836
39,40,0.479983101
39,70,0.47143851
39,100,0.469023734
39,500,0.443761466
39,1000,0.426858036
39,2000,0.393051177
39,4000,0.384692338
39,10000,0.35664379
39,150000,0.202334626
40,0,0.562677512
40,40,0.557163046
40,70,0.550475975
40,100,0.549175711
40,500,0.531157769
40,1000,0.512768324
40,2000,0.478404209
40,4000,0.452027429
40,10000,0.405775187
40,150000,0.189313585
41,0,0.489162934
41,40,0.486191624
41,70,0.479391213
41,100,0.475991007
41,500,0.442744552
41,1000,0.4108204
41,2000,0.400430882
41,4000,0.384941057
41,10000,0.354717007
41,150000,0.226779118
42,0,0.502975023
42,40,0.463844717
42,70,0.460444512
42,100,0.459877811
42,500,0.373361468
42,1000,0.334070203
42,2000,0.306679657
42,4000,0.281555916
42,10000,0.230363931
42,150000,0.156671648
43,0,0.581339774
43,40,0.554766845
43,70,0.546408006
43,100,0.543621727
43,500,0.4799088
43,1000,0.444244421
43,2000,0.412109329
43,4000,0.387404317
43,10000,0.338365796
43,150000,0.177675047
44,0,0.548259988
44,40,0.490106583
44,70,0.4587145
44,100,0.458342996
44,500,0.370110808
44,1000,0.332588909
44,2000,0.292837987
44,4000,0.268504478
44,10000,0.219837461
44,150000,0.150513318
45,0,0.520593499
45,40,0.455720329
45,70,0.449108914
45,100,0.448652954
45,500,0.404082893
45,1000,0.378093189
45,2000,0.349367728
45,4000,0.323833984
45,10000,0.28234165
45,150000,0.158069955
46,0,0.50987676
46,40,0.46161223
46,70,0.458640199
46,100,0.456968431
46,500,0.356848117
46,1000,0.330285585
46,2000,0.300379517
46,4000,0.276603264
46,10000,0.234251814
46,150000,0.151247075
47,0,0.550155828
47,40,0.502627184
47,70,0.482336977
47,100,0.47823334
47,500,0.394222764
47,1000,0.373134627
47,2000,0.347600884
47,4000,0.325828808
47,10000,0.285590363
47,150000,0.180610948
48,0,0.512305642
48,40,0.445746211
48,70,0.43092752
48,100,0.428191762
