Id,H[mm],Theta
1,0,0.465606725
1,40,0.460379278
1,70,0.451874734
1,100,0.439968374
1,500,0.398201617
1,1000,0.375900814
1,2000,0.352088093
1,4000,0.32978729
1,10000,0.290855381
1,150000,0.16916776
2,0,0.491393104
2,40,0.382472467
2,70,0.379305722
2,100,0.37244444
2,500,0.337258381
2,1000,0.320193142
2,2000,0.304183485
2,4000,0.286766385
2,10000,0.25421928
2,150000,0.155493743
3,0,0.493361462
3,40,0.437944066
3,70,0.415971094
3,100,0.397597143
3,500,0.333383026
3,1000,0.313114853
3,2000,0.29890819
3,4000,0.280913084
3,10000,0.248900736
3,150000,0.154185532
4,0,0.489320243
4,40,0.389227524
4,70,0.389227524
4,100,0.386478742
4,500,0.328571069
4,1000,0.305664553
4,2000,0.289171861
4,4000,0.264616075
4,10000,0.229614919
4,150000,0.147095835
5,0,0.441837226
5,40,0.358731699
5,70,0.358185407
5,100,0.357639115
5,500,0.32413321
5,1000,0.302827825
5,2000,0.286621164
5,4000,0.25985286
5,10000,0.221612425
5,150000,0.14468089
6,0,0.436951284
6,40,0.330859595
6,70,0.32364084
6,100,0.319000212
6,500,0.284625189
6,1000,0.266406427
6,2000,0.251281417
6,4000,0.23357828
6,10000,0.205218887
6,150000,0.137658684
7,0,0.621128579
7,40,0.594992849
7,70,0.587876226
7,100,0.574721255
7,500,0.501398468
7,1000,0.474441561
7,2000,0.443171549
7,4000,0.41815554
7,10000,0.371358349
7,150000,0.172839518
8,0,0.464649158
8,40,0.456053569
8,70,0.452312358
8,100,0.447635845
8,500,0.413590829
8,1000,0.393388291
8,2000,0.37168927
8,4000,0.35055143
8,10000,0.319499383
8,150000,0.186603491
9,0,0.484487952
9,40,0.400159952
9,70,0.398734627
9,100,0.39820013
9,500,0.374504105
9,1000,0.359181862
9,2000,0.344215951
9,4000,0.328181047
9,10000,0.304485021
9,150000,0.204957582
10,0,0.471614922
10,40,0.458655112
10,70,0.455345631
10,100,0.455345631
10,500,0.408234198
10,1000,0.387987962
10,2000,0.368131077
10,4000,0.350804971
10,10000,0.326275878
10,150000,0.236380166
11,0,0.429558067
11,40,0.385709978
11,70,0.384586005
11,100,0.382525389
11,500,0.352365454
11,1000,0.334756547
11,2000,0.319582915
11,4000,0.303097982
11,10000,0.278745239
11,150000,0.223367202
12,0,0.418205218
12,40,0.348314743
12,70,0.347395222
12,100,0.346843509
12,500,0.325326706
12,1000,0.312637309
12,2000,0.302154764
12,4000,0.288178037
12,10000,0.265557808
12,150000,0.200738616
13,0,0.439361064
13,40,0.384594362
13,70,0.384213387
13,100,0.382879974
13,500,0.355830742
13,1000,0.333543699
13,2000,0.309923243
13,4000,0.285350349
13,10000,0.245157476
13,150000,0.123876798
14,0,0.468283301
14,40,0.417149391
14,70,0.40943568
14,100,0.397459128
14,500,0.319307052
14,1000,0.283986374
14,2000,0.256785392
14,4000,0.232020318
14,10000,0.194263731
14,150000,0.124861841
15,0,0.473810155
15,40,0.361738818
15,70,0.359995498
15,100,0.357031855
15,500,0.296887329
15,1000,0.223144909
15,2000,0.192811148
15,4000,0.156201437
15,10000,0.119068729
15,150000,0.090105914
16,0,0.498710301
16,40,0.419523441
16,70,0.418013685
16,100,0.417636246
16,500,0.369890214
16,1000,0.339506375
16,2000,0.324786254
16,4000,0.278549977
16,10000,0.212309434
16,150000,0.108741266
17,0,0.491948453
17,40,0.405561186
17,70,0.404255331
17,100,0.40127052
17,500,0.362094877
17,1000,0.339335693
17,2000,0.321240277
17,4000,0.287847705
17,10000,0.223487719
17,150000,0.148948429
18,0,0.43860335
18,40,0.366238622
18,70,0.366238622
18,100,0.366057763
18,500,0.344354734
18,1000,0.330066906
18,2000,0.322832563
18,4000,0.309991604
18,10000,0.285756554
18,150000,0.194472958
19,0,0.431479716
19,40,0.410200171
19,70,0.409643591
19,100,0.407602794
19,500,0.391090892
19,1000,0.375321098
19,2000,0.353057859
19,4000,0.328011716
19,10000,0.28274313
19,150000,0.16592297
20,0,0.463010285
20,40,0.406165767
20,70,0.404720337
20,100,0.399661333
20,500,0.372740203
20,1000,0.355937082
20,2000,0.338411246
20,4000,0.3167298
20,10000,0.282581521
20,150000,0.153703422
21,0,0.496495993
21,40,0.384397348
21,70,0.378749637
21,100,0.374690344
21,500,0.340451095
21,1000,0.317330777
21,2000,0.292975022
21,4000,0.255911917
21,10000,0.207906371
21,150000,0.111684734
22,0,0.498939144
22,40,0.399317254
22,70,0.396783056
22,100,0.395696971
22,500,0.370717015
22,1000,0.352977627
22,2000,0.340125621
22,4000,0.319490006
22,10000,0.279485875
22,150000,0.157109421
23,0,0.488296446
23,40,0.389979452
23,70,0.388727225
23,100,0.387296107
23,500,0.357600424
23,1000,0.340427017
23,2000,0.329693638
