iD,Year,Month,Day,Hour,Minute,Second,ΔPrGross[mm],ΔPrSoil[mm],ΔPet[mm],ΔSink[mm],ΔTranspiration[mm],ΔEvaporation[mm],ΔRecharge[mm],Hpond[mm],ΔRunoff[mm],∑WaterBalance_η[mm]
1.0,1.0,1.0,1.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.821068063201469e-13
2.0,1.0,1.0,1.0,13.0,0.0,0.0,1.8391268479999994,2.2844698155088423,0.0,0.0,0.0,0.0,6.545866966199964e-7,0.0,0.0,5.117599638728436e-12
3.0,1.0,1.0,1.0,14.0,0.0,0.0,1.8391268479999994,2.2316012391678797,0.0,0.0,0.0,0.0,6.54586696619988e-7,0.0,0.0,3.0020541479034535e-12
4.0,1.0,1.0,1.0,15.0,0.0,0.0,1.8391268479999994,2.197090825496275,0.0,0.0,0.0,0.0,6.545866966199913e-7,0.0,0.0,2.615433093781009e-12
5.0,1.0,1.0,1.0,16.0,0.0,0.0,1.8391268479999994,2.1664264831305147,0.0,0.0,0.0,0.0,6.545866966200168e-7,0.0,0.0,9.208146467144403e-11
6.0,1.0,1.0,1.0,17.0,0.0,0.0,1.8391268479999994,2.1388116548568092,0.0,0.0,0.0,0.0,6.545866966199727e-7,0.0,0.0,3.56345742843412e-10
7.0,1.0,1.0,1.0,18.0,0.0,0.0,1.8391268479999994,2.103959933525772,0.0,0.0,0.0,0.0,6.545866966199964e-7,0.0,0.0,4.1413501349737927e-10
8.0,1.0,1.0,1.0,19.0,0.0,0.0,1.8391268479999994,2.083360546777797,0.0,0.0,0.0,0.0,6.54586696619988e-7,0.0,0.0,3.8954483160696904e-10
9.0,1.0,1.0,1.0,20.0,0.0,0.0,1.8391268479999994,2.064638380025599,0.0,0.0,0.0,0.0,6.545866966199846e-7,0.0,0.0,3.3517367656574467e-10
10.0,1.0,1.0,1.0,21.0,0.0,0.0,1.8391268479999994,2.046905236148824,0.0,0.0,0.0,0.0,6.545866966199947e-7,0.0,0.0,3.0035659872709915e-10
11.0,1.0,1.0,1.0,22.0,0.0,0.0,1.8391268479999994,2.024019151123781,0.0,0.0,0.0,0.0,6.545866966200134e-7,0.0,0.0,2.5635491022636315e-10
12.0,1.0,1.0,1.0,23.0,0.0,0.0,1.8391268479999994,2.010919325371674,0.0,0.0,0.0,0.0,6.54586696619988e-7,0.0,0.0,1.4231182225407496e-10
13.0,1.0,1.0,2.0,0.0,0.0,0.0,1.8391268479999994,1.9985711590163504,0.0,0.0,0.0,0.0,6.545866966200439e-7,0.0,0.0,2.3703632918131217e-11
14.0,1.0,1.0,2.0,1.0,0.0,0.0,1.8391268480001273,1.9849686799177206,0.0,0.0,0.0,0.0,6.545866966199947e-7,0.0,0.0,2.259193772881948e-11
15.0,1.0,1.0,2.0,2.0,0.0,0.0,1.8391268479998715,1.9709127399588553,0.0,0.0,0.0,0.0,6.545866966199337e-7,0.0,0.0,2.8215281349880122e-11
16.0,1.0,1.0,2.0,3.0,0.0,0.0,1.8391268479999994,1.9618797077968821,0.0,0.0,0.0,0.0,6.545866966200117e-7,0.0,0.0,5.119197146821539e-11
17.0,1.0,1.0,2.0,4.0,0.0,0.0,1.8391268479999994,1.9532291914225794,0.0,0.0,0.0,0.0,6.545866966200151e-7,0.0,0.0,8.609774963439029e-11
18.0,1.0,1.0,2.0,5.0,0.0,0.0,1.8391268479999994,1.9420216387641176,0.0,0.0,0.0,0.0,6.545866966199947e-7,0.0,0.0,8.330125423074661e-11
19.0,1.0,1.0,2.0,6.0,0.0,0.0,1.8391268479999994,1.9336943683953507,0.0,0.0,0.0,0.0,6.545866966199913e-7,0.0,0.0,7.75647308313362e-11
20.0,1.0,1.0,2.0,7.0,0.0,0.0,1.8391268479999994,1.9271365069044606,0.0,0.0,0.0,0.0,6.545866966199846e-7,0.0,0.0,1.9407760875666784e-10
21.0,1.0,1.0,2.0,8.0,0.0,0.0,1.8391268479999994,1.9205559807247852,0.0,0.0,0.0,0.0,6.545866966199981e-7,0.0,0.0,5.388193732401309e-10
22.0,1.0,1.0,2.0,9.0,0.0,0.0,1.8391268479999994,1.9117475069246694,0.0,0.0,0.0,0.0,6.545866966200388e-7,0.0,0.0,5.306569943625792e-10
23.0,1.0,1.0,2.0,10.0,0.0,0.0,1.8391268479999994,1.906709823719197,0.0,0.0,0.0,0.0,6.545866971218889e-7,0.0,0.0,4.951470532077561e-10
24.0,1.0,1.0,2.0,11.0,0.0,0.0,1.8391268480000065,1.9018483906744024,0.0,0.0,0.0,0.0,6.54589519191971e-7,0.0,0.0,4.5416513345644027e-10
25.0,1.0,1.0,2.0,12.0,0.0,0.0,1.8391268479999923,1.895869019913377,0.0,0.0,0.0,0.0,6.546014967702799e-7,0.0,0.0,4.3675755645724813e-10
26.0,1.0,1.0,2.0,13.0,0.0,0.0,1.8391268480002623,1.8905448866164107,0.0,0.0,0.0,0.0,8.464768039572261e-7,0.0,0.0,4.1757452420398024e-10
27.0,1.0,1.0,2.0,14.0,0.0,0.0,1.8391268480000065,1.8867504228111471,0.0,0.0,0.0,0.0,0.00031071632894079176,0.0,0.0,8.073174381783827e-10
28.0,1.0,1.0,2.0,15.0,0.0,0.0,1.8391268479994949,1.883087722096647,0.0,0.0,0.0,0.0,0.0013666289337362324,0.0,0.0,1.7677477679133265e-9
29.0,1.0,1.0,2.0,16.0,0.0,0.0,1.8391268480000065,1.877679206912191,0.0,0.0,0.0,0.0,0.031220948908722512,0.0,0.0,1.709984582329815e-9
30.0,1.0,1.0,2.0,17.0,0.0,0.0,1.839126848000518,1.8745939914950043,0.0,0.0,0.0,0.0,0.101057210363662,0.0,0.0,1.5796309908526577e-9
31.0,1.0,1.0,2.0,18.0,0.0,0.0,1.8391268480000065,1.8717672592381405,0.0,0.0,0.0,0.0,0.1786824990203595,0.0,0.0,1.435517097669986e-9
32.0,1.0,1.0,2.0,19.0,0.0,0.0,1.8391268480000065,1.86795845026856,0.0,0.0,0.0,0.0,0.3261881427248383,0.0,0.0,1.4388086056835393e-9
33.0,1.0,1.0,2.0,20.0,0.0,0.0,1.8391268479994949,1.8646678890915496,0.0,0.0,0.0,0.0,0.4811656098316419,0.0,0.0,1.4081114934418686e-9
34.0,1.0,1.0,2.0,21.0,0.0,0.0,1.8391268480000065,1.8622540728431858,0.0,0.0,0.0,0.0,0.5965948754916077,0.0,0.0,1.3599940275282242e-9
35.0,1.0,1.0,2.0,22.0,0.0,0.0,1.8391268480000065,1.8593167334983889,0.0,0.0,0.0,0.0,0.7388049601610831,0.0,0.0,1.2981965116434357e-9
36.0,1.0,1.0,2.0,23.0,0.0,0.0,1.8391268480000065,1.8557843434447676,0.0,0.0,0.0,0.0,0.8988079512278908,0.0,0.0,2.668382770527956e-9
37.0,1.0,1.0,3.0,0.0,0.0,0.0,1.8391268480000065,1.8537289592644726,0.0,0.0,0.0,0.0,0.9851551292900425,0.0,0.0,3.8576543247963315e-9
