iD,Year,Month,Day,Hour,Minute,Second,∑T[Hour],ΔPr_Through[mm/day],ΔPet[mm/day],ΔSink[mm/day],ΔEvaporation[mm/day],Hpond[mm],Recharge[mm/day],∑WaterBalance_η_Profile[mm/day]
1.0,1.0,1.0,1.0,12.0,0.0,0.0,43200.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.2474370900686184e-10
2.0,1.0,1.0,1.0,13.0,0.0,0.0,46800.0,2.241038722277061,NaN,0.0,0.0,0.0,6.545866966200066e-7,5.580556088051013e-10
3.0,1.0,1.0,1.0,14.0,0.0,0.0,50400.0,2.2018351860871377,NaN,0.0,0.0,0.0,6.545866966199829e-7,4.6631236148732896e-9
4.0,1.0,1.0,1.0,15.0,0.0,0.0,54000.0,2.168040125977633,NaN,0.0,0.0,0.0,6.545866966199829e-7,-1.911769410556006e-9
5.0,1.0,1.0,1.0,16.0,0.0,0.0,57600.0,2.138091369100472,NaN,0.0,0.0,0.0,6.545866966200032e-7,-2.854551083081261e-9
6.0,1.0,1.0,1.0,17.0,0.0,0.0,61200.0,2.111424035642976,NaN,0.0,0.0,0.0,6.545866966200066e-7,-2.914426215365403e-9
7.0,1.0,1.0,1.0,18.0,0.0,0.0,64800.0,2.0875764642187136,NaN,0.0,0.0,0.0,6.545866966199744e-7,-2.6852188167297188e-9
8.0,1.0,1.0,1.0,19.0,0.0,0.0,68400.0,2.066167042178648,NaN,0.0,0.0,0.0,6.545866966200168e-7,-2.2920971415661346e-9
9.0,1.0,1.0,1.0,20.0,0.0,0.0,72000.0,2.04687757098862,NaN,0.0,0.0,0.0,6.545866966199693e-7,-2.5545665083726942e-8
10.0,1.0,1.0,1.0,21.0,0.0,0.0,75600.0,2.0294406285893487,NaN,0.0,0.0,0.0,6.545866966199981e-7,-3.7792184538245145e-8
11.0,1.0,1.0,1.0,22.0,0.0,0.0,79200.0,2.0136293391070623,NaN,0.0,0.0,0.0,6.545866966199998e-7,-3.5387554554866676e-8
12.0,1.0,1.0,1.0,23.0,0.0,0.0,82800.0,1.999256507039938,NaN,0.0,0.0,0.0,6.5458669662001e-7,-3.4966665545965383e-8
13.0,1.0,1.0,2.0,0.0,0.0,0.0,86400.0,1.9861228066230439,NaN,0.0,0.0,0.0,6.545866966200489e-7,-2.8465415629704735e-8
14.0,1.0,1.0,2.0,1.0,0.0,0.0,90000.0,1.9741741890817082,NaN,0.0,0.0,0.0,6.545866966199642e-7,-2.6391117516805528e-8
15.0,1.0,1.0,2.0,2.0,0.0,0.0,93600.0,1.96283398887104,NaN,0.0,0.0,0.0,6.545866966200286e-7,-3.2543472338670646e-8
