iD,Year,Month,Day,Hour,Minute,Second,∑T[Hour],ΔPr_Through[mm/day],ΔPet[mm/day],ΔSink[mm/day],ΔEvaporation[mm/day],Hpond[mm],Recharge[mm/day],∑WaterBalance_η_Profile[mm/day]
1.0,1.0,1.0,5.0,0.0,0.0,0.0,345600.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0019286991538623732
2.0,1.0,1.0,6.0,0.0,0.0,0.0,432000.0,19.958400000001518,0.0,0.0,0.0,0.0,8.639999999999863e-10,-0.001929155951069446
3.0,1.0,1.0,7.0,0.0,0.0,0.0,518400.0,19.958399999996445,0.0,0.0,0.0,0.0,8.70189579833688e-10,-0.001929054199176467
4.0,1.0,1.0,8.0,0.0,0.0,0.0,604800.0,19.958399999998846,0.0,0.0,0.0,0.0,1.453003757308791e-9,-0.0019288021485742797
5.0,1.0,1.0,9.0,0.0,0.0,0.0,691200.0,19.9584000000022,0.0,0.0,0.0,0.0,3.225559703571242e-9,-0.001928696339729599
6.0,1.0,1.0,10.0,0.0,0.0,0.0,777600.0,19.95840000000024,0.0,0.0,0.0,0.0,6.882335767710779e-9,-0.0019290227589248829
7.0,1.0,1.0,11.0,0.0,0.0,0.0,864000.0,19.958399999994953,0.0,0.0,0.0,0.0,9.763587029328163e-9,-0.0019296253366395148
8.0,1.0,1.0,12.0,0.0,0.0,0.0,950400.0,19.95840000000399,0.0,0.0,0.0,0.0,9.822542779146487e-9,-0.0019298829850917189
9.0,1.0,1.0,13.0,0.0,0.0,0.0,1.0368e6,19.958400000001234,0.0,0.0,0.0,0.0,9.822542779147069e-9,-0.0018101679498694673
10.0,1.0,1.0,14.0,0.0,0.0,0.0,1.1232e6,19.95840000001445,0.0,0.0,0.0,0.0,9.822542779146328e-9,-0.0017803589288508715
11.0,1.0,1.0,15.0,0.0,0.0,0.0,1.2096e6,19.958399999979918,0.0,0.0,0.0,0.0,9.822542779144899e-9,-0.0017966104414793849
12.0,1.0,1.0,16.0,0.0,0.0,0.0,1.296e6,19.95839999999373,0.0,0.0,0.0,0.0,9.822542779152548e-9,-0.001810306546853446
13.0,1.0,1.0,17.0,0.0,0.0,0.0,1.3824e6,19.95839999999305,0.0,0.0,0.0,0.0,9.82254277914793e-9,-0.0017453174644533878
